wikidata	wikidatalink	source_page	instance_of	part_of	subclass_of	eu	eu_wikipedia	es	es_wikipedia	en	en_wikipedia	fr	fr_wikipedia	it	it_wikipedia	de	de_wikipedia	pt	pt_wikipedia	ca	ca_wikipedia	cs	cs_wikipedia
Q732254	https://wikidata.org/wiki/Q732254	Bicyclus		https://wikidata.org/wiki/Q16521		Bicyclus		Bicyclus		Bicyclus	https://en.wikipedia.org/wiki/Bicyclus	Bicyclus		Bicyclus		Bicyclus		Bicyclus		Bicyclus				
Q5463494	https://wikidata.org/wiki/Q5463494	Flying_Pigeon		https://wikidata.org/wiki/Q4830453				Flying Pigeon	https://es.wikipedia.org/wiki/Flying Pigeon	Flying Pigeon	https://en.wikipedia.org/wiki/Flying Pigeon	Flying Pigeon	https://fr.wikipedia.org/wiki/Flying Pigeon											
-1	https://wikidata.org/wiki/-1	Transportation																						
Q63247926	https://wikidata.org/wiki/Q63247926	Human-powered_transport			https://wikidata.org/wiki/Q7590					human-powered transport	https://en.wikipedia.org/wiki/Human-powered transport	transport à force humaine						transporte de tração humana	https://pt.wikipedia.org/wiki/Transporte de tração humana	transport per força humana				
Q1377570	https://wikidata.org/wiki/Q1377570	Motorized_bicycle			https://wikidata.org/wiki/Q201783, https://wikidata.org/wiki/Q11442			bicicleta motorizada		motorized bicycle	https://en.wikipedia.org/wiki/Motorized bicycle	vélomoteur		bicimotore	https://it.wikipedia.org/wiki/Bicimotore	Fahrrad mit Hilfsmotor	https://de.wikipedia.org/wiki/Fahrrad mit Hilfsmotor			bicicleta motoritzada		motorové kolo	https://cs.wikipedia.org/wiki/Motorové kolo	
Q167130	https://wikidata.org/wiki/Q167130	Bicycle_frame			https://wikidata.org/wiki/Q1064975, https://wikidata.org/wiki/Q30246160	Koadro (bizikleta)	https://eu.wikipedia.org/wiki/Koadro (bizikleta)	cuadro	https://es.wikipedia.org/wiki/Cuadro (bicicleta)	bicycle frame	https://en.wikipedia.org/wiki/Bicycle frame	cadre	https://fr.wikipedia.org/wiki/Cadre de bicyclette	telaio	https://it.wikipedia.org/wiki/Telaio (bicicletta)	Fahrradrahmen	https://de.wikipedia.org/wiki/Fahrradrahmen	quadro de bicicleta	https://pt.wikipedia.org/wiki/Quadro de bicicleta	quadre	https://ca.wikipedia.org/wiki/Quadre (bicicleta)			
Q161798	https://wikidata.org/wiki/Q161798	Bicycle_wheel		https://wikidata.org/wiki/Q11442	https://wikidata.org/wiki/Q446, https://wikidata.org/wiki/Q30246160	Gurpil (bizikleta)	https://eu.wikipedia.org/wiki/Gurpil (bizikleta)	rueda de bicicleta	https://es.wikipedia.org/wiki/Rueda de bicicleta	bicycle wheel	https://en.wikipedia.org/wiki/Bicycle wheel	roue de vélo	https://fr.wikipedia.org/wiki/Roue de vélo	ruota	https://it.wikipedia.org/wiki/Ruota (bicicletta)	Laufrad	https://de.wikipedia.org/wiki/Laufrad (Fahrrad)	roda de bicicleta	https://pt.wikipedia.org/wiki/Roda de bicicleta	roda de bicicleta	https://ca.wikipedia.org/wiki/Roda de bicicleta	kolo bicyklu	https://cs.wikipedia.org/wiki/Kolo (jízdní kolo)	
Q771452	https://wikidata.org/wiki/Q771452	Bicycle_tire		https://wikidata.org/wiki/Q811909, https://wikidata.org/wiki/Q2424752	https://wikidata.org/wiki/Q169545, https://wikidata.org/wiki/Q30246160	Pneumatiko (bizikleta)	https://eu.wikipedia.org/wiki/Pneumatiko (bizikleta)	Neumático de bicicleta	https://es.wikipedia.org/wiki/Neumático de bicicleta	bicycle tire	https://en.wikipedia.org/wiki/Bicycle tire	Pneumatique	https://fr.wikipedia.org/wiki/Pneumatique de bicyclette			Fahrradreifen	https://de.wikipedia.org/wiki/Fahrradbereifung			pneumàtic de bicicleta	https://ca.wikipedia.org/wiki/Pneumàtic de bicicleta			
Q1076532	https://wikidata.org/wiki/Q1076532	Bicycle_saddle		https://wikidata.org/wiki/Q11442	https://wikidata.org/wiki/Q30246160	Zela (bizikleta)	https://eu.wikipedia.org/wiki/Zela (bizikleta)	sillín	https://es.wikipedia.org/wiki/Sillín	bicycle saddle	https://en.wikipedia.org/wiki/Bicycle saddle	selle	https://fr.wikipedia.org/wiki/Selle de bicyclette	sella	https://it.wikipedia.org/wiki/Sella (bicicletta)	Fahrradsattel	https://de.wikipedia.org/wiki/Fahrradsattel	selim	https://pt.wikipedia.org/wiki/Selim (ciclismo)	selló	https://ca.wikipedia.org/wiki/Selló			
Q1148375	https://wikidata.org/wiki/Q1148375	Bicycle_handlebar			https://wikidata.org/wiki/Q18671735, https://wikidata.org/wiki/Q30246160	Eskuleku	https://eu.wikipedia.org/wiki/Eskuleku (ibilgailuen osagaia)	Manillar	https://es.wikipedia.org/wiki/Manillar	bicycle handlebar	https://en.wikipedia.org/wiki/Bicycle handlebar	guidon	https://fr.wikipedia.org/wiki/Guidon (véhicule)	Manubrio	https://it.wikipedia.org/wiki/Manubrio	Fahrradlenker	https://de.wikipedia.org/wiki/Fahrradlenker	guidão	https://pt.wikipedia.org/wiki/Guidão	manillar	https://ca.wikipedia.org/wiki/Manillar			
